Name,Image,Team,Batting_Style,Bowling_Style,Playing_Role
Arjun Tendulkar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzxhp8Aa6ofE0VJ0yBcU4SLN5BlRSRw17VHuLUUtQq0UyG1Aw8DNEILjJ2qQ&s,Mumbai Indians ,Left hand Bat,Left arm Medium fast,Bowler
Tilak Varma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgtCJrXdN_LYSOc699kfGTnIpj7MzGduxZH0GKb65F0g2P580tAksVozeu7O8&s,Mumbai Indians ,Left hand Bat,Right arm Offbreak,Batting Allrounder
Vishnu Vinod,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtT8kFcQ5lW9OLIbshegnTZi4_6zfVxonLzDbVx7xyAr_lcxxrAnH_1FTIb-Y&s,Mumbai Indians ,Right hand Bat,,Wicketkeeper Batter
Nehal Wadhera,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqnBVMxGvwKLUeKhH_-vpRgDKT683pOQnlXi0yvMj_OL0_AB8ye5lThPWOpGw&s,Mumbai Indians ,Left hand Bat,Legbreak,Top order Batter
Suryakumar Yadav,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQjygeyPNtGSx_DOEay7Iuo_i3KA0tJHTuy-iFcijsgB8b8jD7EU296Xa3Lw&s,Mumbai Indians ,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
Jofra Archer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScZt8D5WcJ0XrSwTtuDRhcyJ6quDRJ4bh4CXh2yFsGJIKoi_0tBkAiGH7aeGw&s,Mumbai Indians ,Right hand Bat,Right arm Fast,Bowler
Jasprit Bumrah,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRj8nGqO7c_udLEUJC2BWJWYmIAcMGTDkq0I8NaIpaDa1m3E3q59_MR025S9ts&s,Mumbai Indians ,Right hand Bat,Right arm Fast,Bowler
Jhye Richardson,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcrq_Mgurq3RwIn9R-9oD1xY4brZvRQesPtjhdZktU-lgPlDoiephh_cfXOms&s,Mumbai Indians ,Right hand Bat,Right arm Fast,Bowler
Shikhar Dhawan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQb-6YPFAHBF_YrXg6b8sa5Z9fJrjM2ErbMJiUmgoW5tNr0vuU1MsNLO6v5Kt0&s,Punjab Kings ,Left hand Bat,Right arm Offbreak,Opening Batter
Arshdeep Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRos8KEtoCdCMDz5ypeqv-28MHeG8jSJzv3hGZjOMOAdo8LQlwAOJbRUw8HqCs&s,Punjab Kings ,Left hand Bat,Left arm Medium fast,Bowler
Baltej Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvmfridWj2nfG7RCreW9NjjNStMVkFiATT5Nmkc0fvYL5q_djBzvEaYqnagA&s,Punjab Kings ,Right hand Bat,Right arm Medium,Bowler
